ISIN,Symbol,Name,Series,Instrument_ID,Symbol_NSE,Name_NSE,Symbol_BSE,Name_BSE,Series_BSE,BSE_Code
DUMMY0000192,DSPPVBINAV,DSPAMC - DSPPVBINAV,EQ,17619.0,DSPPVBINAV,DSPAMC - DSPPVBINAV,,,,
DUMMY0000193,DSPPSBINAV,DSPAMC - DSPPSBINAV,EQ,17620.0,DSPPSBINAV,DSPAMC - DSPPSBINAV,,,,
DUMMY0000194,DSPSENINAV,DSPAMC - DSPSENINAV,EQ,17621.0,DSPSENINAV,DSPAMC - DSPSENINAV,,,,
DUMMY0000195,ICIQ30INAV,ICICIPRAMC - ICIQ30INAV,EQ,17822.0,ICIQ30INAV,ICICIPRAMC - ICIQ30INAV,,,,
DUMMY0000196,HDFLIQINAV,HDFCAMC - HDFLIQINAV,EQ,18282.0,HDFLIQINAV,HDFCAMC - HDFLIQINAV,,,,
DUMMY0000197,NIM150INAV,UTIAMC - NIM150INAV,EQ,18353.0,NIM150INAV,UTIAMC - NIM150INAV,,,,
DUMMY0000198,NAVNIFINAV,NAVIAMC - NAVNIFINAV,EQ,18671.0,NAVNIFINAV,NAVIAMC - NAVNIFINAV,,,,
DUMMY0000199,SENSEXINAV,MIRAEAMC - SENSEXINAV,EQ,19247.0,SENSEXINAV,MIRAEAMC - SENSEXINAV,,,,
DUMMY0000200,MON500INAV,MOTILALAMC - MON500INAV,EQ,19248.0,MON500INAV,MOTILALAMC - MON500INAV,,,,
DUMMY0000201,ITETFINAV,MIRAEAMC - ITETFINAV,EQ,19644.0,ITETFINAV,MIRAEAMC - ITETFINAV,,,,
DUMMY0000202,ALPHAINAV,MIRAEAMC - ALPHAINAV,EQ,19645.0,ALPHAINAV,MIRAEAMC - ALPHAINAV,,,,
DUMMY0000203,LIQSBIINAV,SBIAMC - LIQSBIINAV,EQ,19715.0,LIQSBIINAV,SBIAMC - LIQSBIINAV,,,,
DUMMY0000204,EGOLDINAV,EDELAMC - EGOLDINAV,EQ,19944.0,EGOLDINAV,EDELAMC - EGOLDINAV,,,,
DUMMY0000205,ESILINAV,EDELAMC - ESILVER,EQ,20260.0,ESILINAV,EDELAMC - ESILVER,,,,
DUMMY0000206,BNGOLDINAV,BARODABNP - BNGOLDINAV,EQ,20550.0,BNGOLDINAV,BARODABNP - BNGOLDINAV,,,,
DUMMY0000207,TAGOLDINAV,TATAAML-TAGOLDINAV,EQ,21438.0,TAGOLDINAV,TATAAML-TAGOLDINAV,,,,
DUMMY0000208,TASILVINAV,TATAAML-TASILVINAV,EQ,21449.0,TASILVINAV,TATAAML-TASILVINAV,,,,
DUMMY0000209,LIQCASINAV,ZERODHAAMC - LIQCASINAV,EQ,21772.0,LIQCASINAV,ZERODHAAMC - LIQCASINAV,,,,
DUMMY0000210,BANKBINAV,BFAM - BANKBETF,EQ,21989.0,BANKBINAV,BFAM - BANKBETF,,,,
DUMMY0000211,NIFTYBINAV,BFAM - NIFTYBETF,EQ,22037.0,NIFTYBINAV,BFAM - NIFTYBETF,,,,
DUMMY0000212,NIFITEINAV,UTIAMC - NIFITEINAV,EQ,22491.0,NIFITEINAV,UTIAMC - NIFITEINAV,,,,
DUMMY0000213,NIF5GINAV,UTIAMC - NIF5GINAV,EQ,22539.0,NIF5GINAV,UTIAMC - NIF5GINAV,,,,
DUMMY0000214,NIF10GINAV,UTIAMC - NIF10GINAV,EQ,22540.0,NIF10GINAV,UTIAMC - NIF10GINAV,,,,
DUMMY0000215,HEALADINAV,DSPAMC - HEALADINAV,EQ,22598.0,HEALADINAV,DSPAMC - HEALADINAV,,,,
DUMMY0000216,HDFPBKINAV,HDFCAMC HDFPBKINAV,EQ,22599.0,HDFPBKINAV,HDFCAMC HDFPBKINAV,,,,
DUMMY0000217,LICNMDINAV,LICNAMC - LICNMDINAV,EQ,22729.0,LICNMDINAV,LICNAMC - LICNMDINAV,,,,
DUMMY0000218,SMACAPINAV,MIRAEAMC - SMACAPINAV,EQ,22863.0,SMACAPINAV,MIRAEAMC - SMACAPINAV,,,,
DUMMY0000219,GLDCASINAV,ZERODHAAMC - GLDCASINAV,EQ,22904.0,GLDCASINAV,ZERODHAAMC - GLDCASINAV,,,,
